,ID,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Continent,Family
1345,BATANGA_BALUNDU,Africa,5,9.17,NA,bdu,NA,Atlantic-Congo
1346,BATU_ANWE,Africa,6.83,11,NA,btu,NA,Atlantic-Congo
1347,BEBA,Africa,6.32,9.74,NA,bfp,NA,Atlantic-Congo
1348,BEEMBE,Africa,-3.92,14.08,NA,beq,NA,Atlantic-Congo
1349,BEKWEL,Africa,1.6,14.5,NA,bkw,NA,Atlantic-Congo
1350,BEKWEL_2,Africa,1.6,14.5,NA,bkw,NA,Atlantic-Congo
1351,BEKWEL_3,Africa,1.6,14.5,NA,bkw,NA,Atlantic-Congo
1352,BEKWEL_4,Africa,1.6,14.5,NA,bkw,NA,Atlantic-Congo
1353,BEKWIL,Africa,1.67,14.33,NA,bkw,NA,Atlantic-Congo
1354,BEMBA,Africa,-10,30,NA,bem,NA,Atlantic-Congo
1355,BEMBA_1,Africa,-10,30,NA,bem,NA,Atlantic-Congo
1356,BEMBA_2,Africa,-10,30,NA,bem,NA,Atlantic-Congo
1357,BEMBE,Africa,-3.92,14.08,NA,beq,NA,Atlantic-Congo
1358,BEMBE_2,Africa,-3.92,14.08,NA,beq,NA,Atlantic-Congo
1359,BEMBE_3,Africa,-3.92,14.08,NA,beq,NA,Atlantic-Congo
1360,BEMBE_BMB,Africa,-4.49,29.05,NA,bmb,NA,Atlantic-Congo
1361,BEMBE_BMB_2,Africa,-4.08,28.58,NA,bmb,NA,Atlantic-Congo
1362,BENA,Africa,-9.2,35.1,NA,bez,NA,Atlantic-Congo
1363,BENA_2,Africa,9,35,NA,bez,NA,Atlantic-Congo
